sku,nombre,unidad_medida,precio,descripcion,imagen_url,stock_actual
30222,Trapeador de Microfibra Plana Completo – Virutex,UND,42.90,S/ 42.90,https://daryza.com/wp-content/uploads/2021/07/30222.jpg,30
19606,Guante Profesional Daryza Calibre 35 Talla 7,UND,11.30,"Guantes hechos a base de látex natural con excelente elasticidad, ergonómicos y anatómicos, satinado con tratamiento antibacterial, halogenados para disminuir la presencia de proteínas y químicos residuales que podrían producir alergias, fácil de poner y quitar.",https://daryza.com/wp-content/uploads/2023/10/19606.jpg,1910
32324,Jabón Líquido Para Manos Antibacterial Frescura Citrica Daryza x 4 L,4 L,29.40,"Humedezca las manos y aplique suficiente jabón. Restregar las palmas y dorsos de las manos, entrelazar los dedos, restregar las uñas y pulgares rotándolos en las palmas durante 20 segundos. Finalmente enjuague y seque.",https://daryza.com/wp-content/uploads/2024/10/32324.jpg,45
33098,Cloro Daryza x 19 L,19 L,62.90,S/ 62.90,https://daryza.com/wp-content/uploads/2024/06/448.jpg,76
1170,Aromatizador Potpurrí X 360 ML – Sapolio,360 ML,7.90,S/ 7.90,https://daryza.com/wp-content/uploads/2023/05/1170.jpg,60
33643,Limpia Inodoro Pino Daryza x 500 ml,500 ML,12.90,S/ 12.90,https://daryza.com/wp-content/uploads/2025/05/33643.jpg,45
301,Desengrasante Forte Daryza x 19 L,19 L,119.00,"El Desengrasante Forte Daryza tiene una fórmula eficaz que corta y elimina la grasa en todo tipo de superficies lavables. Alto poder de remoción de todo tipo de suciedad, excelente formador de espuma.",https://daryza.com/wp-content/uploads/2023/08/301.jpg,27
1756,Esponja verde original N°96 Scotch Brite 70071658986 3M,UND,4.30,"Esponja de fibras sintéticas de alta calidad. No oxidable, resistente para proporcionar durabilidad y un uso duradero.",https://daryza.com/wp-content/uploads/2024/07/1756-web.jpg,41
33704,Detergente Profesional Máximo Poder x 9Kg Sapolio,9 KG,69.70,S/ 69.70,https://daryza.com/wp-content/uploads/2023/02/33704-2.jpg,52
5330,Paño Wypall X-70 Plus Regular Rollo x 88 hojas,88 HOJAS,52.10,"Cada rollo contiene 88 hojas de 28 x 42 cm. Los paños de limpieza WypAll están hechos con materias primas de origen forestal de fuentes responsables. Ideal para tareas de remoción de grasas, ya que brindan mayor resistencia y absorción de aceites y líquidos.",https://daryza.com/wp-content/uploads/2023/09/70.png,98
1203,Esponja Borrador Azul/Blanco 70071657954 3M,UND,12.30,"Esponja borrador suave y flexible de uretano azul te permite limpiar superficies sin utilizar productos químicos adicionales como: vidrios, baldosas de cerámica, fibra de vidrio, porcelana, metal, mármol, acero inoxidable, plástico, vinilo, y la mayoría de los revestimientos de pared. El rendimiento óptimo del producto se consigue cuando se utiliza con agua.",https://daryza.com/wp-content/uploads/2024/06/1203.jpg,32
31286,Papel Toalla Blanco Doble Hoja 6 Rollos de 120 Mts – Tork,585 HOJAS,147.60,"Papel toalla blanco doble hoja, proporciona mayor absorbencia, resistencia y suavidad. Gracias a su pre-corte dispensa una a una sin necesidad de tocar el dispensador y ayuda a reducir el consumo en comparación a un papel toalla tradicional. Cada rollo proporciona 585 hojas que permiten abastecer gran número de usuarios. Equipa tus espacios (Código:5875, 30130, 30209, 8600, 7727)",https://daryza.com/wp-content/uploads/2024/11/31286.jpg,8
30900,Alcohol Gel para Manos Daryza x 4 L,4 L,46.90,Modo de empleo: Aplicar una dosis del producto sobre la palma de la mano y frotar hasta que se haya desvanecido completamente.,https://daryza.com/wp-content/uploads/2024/10/30900.jpg,71
31222,Perfumador Liquido Lavanda Daryza x 3.8 L,3.8 L,14.50,"Verter el producto en un pulverizador o atomizador, aplique en el área atomizando en el aire hasta cubrir el área en dirección de las esquinas del ambiente. A mayor dosificación, obtendrá una mayor duración y efecto residual. Para perfumar ambientes aplíquelo puro con un trapeador sobre la superficie.",https://daryza.com/wp-content/uploads/2024/06/31222.jpg,44
1837,Jabón Espuma Dermo Kleenex X 800 ML / 30228072 KCP,800 ML,43.90,Apariencia Líquido Olor Característico Color Azul PH 4.5 – 6.5 Densidad (20°C) 1.010 – 1.020 g/cm3,https://daryza.com/wp-content/uploads/2023/06/30228072.jpg,68
30630,Bolsas Para Basura Negras 140 Litros Paquete x 100 Unidades,140 L,51.90,S/ 51.90,https://daryza.com/wp-content/uploads/2024/10/30630.jpg,59
30770,Lavavajilla Liquido Limon Daryza x 1 L,1 L,11.90,"Modo de empleo Retirar residuos organicos en platos y menajes Aplicar una pequeña porción sobre una esponja doble uso Incorpore un poco de agua, genere espuma y lave.",https://daryza.com/wp-content/uploads/2021/04/30770-1.jpg,66
30899,Alcohol Gel para Manos Daryza x 1 L,1 L,14.90,Modo de empleo: Aplicar una dosis del producto sobre la palma de la mano y frotar hasta que se haya desvanecido completamente.,https://daryza.com/wp-content/uploads/2022/12/30899.jpg,41
